,date,team,against,home,goalie,dec,SA,SV,TOI
257,2016-11-09,ANA,CBJ,@,John Gibson,O,18,15,60:44
258,2016-11-12,CBJ,STL,h,Sergei Bobrovsky,W,37,33,60:00
259,2016-11-12,STL,CBJ,@,Carter Hutton,L,18,14,35:15
260,2016-11-15,CBJ,WSH,h,Sergei Bobrovsky,W,22,21,60:34
261,2016-11-15,WSH,CBJ,@,Philipp Grubauer,O,27,25,60:37
262,2016-11-18,CBJ,NYR,h,Sergei Bobrovsky,W,27,25,60:00
263,2016-11-18,NYR,CBJ,@,Henrik Lundqvist,L,23,20,58:55
264,2016-11-21,CBJ,COL,h,Curtis McElhinney,O,27,24,60:26
265,2016-11-21,COL,CBJ,@,Semyon Varlamov,W,42,40,61:49
266,2016-11-23,CBJ,CGY,h,Sergei Bobrovsky,L,20,18,57:19
267,2016-11-23,CGY,CBJ,@,Chad Johnson,W,34,34,60:00
268,2016-11-29,CBJ,TBL,h,Sergei Bobrovsky,W,27,26,59:48
269,2016-11-29,TBL,CBJ,@,Andrei Vasilevskiy,L,38,33,60:00
270,2016-12-05,CBJ,ARI,h,Sergei Bobrovsky,W,18,17,59:41
271,2016-12-05,ARI,CBJ,@,Louis Domingue,L,34,30,60:00
272,2016-12-10,CBJ,NYI,h,Sergei Bobrovsky,W,30,28,60:00
273,2016-12-10,NYI,CBJ,@,Jaroslav Halak,L,38,32,54:23
274,2016-12-20,CBJ,LAK,h,Curtis McElhinney,W,46,44,65:00
275,2016-12-20,LAK,CBJ,@,Peter Budaj,O,27,25,65:00
276,2016-12-22,CBJ,PIT,h,Sergei Bobrovsky,W,26,25,60:00
277,2016-12-22,PIT,CBJ,@,Matt Murray,L,23,17,43:35
278,2016-12-23,CBJ,MTL,h,Sergei Bobrovsky,W,37,36,59:52
279,2016-12-23,MTL,CBJ,@,Al Montoya,L,24,22,58:30
280,2016-12-27,CBJ,BOS,h,Sergei Bobrovsky,W,40,37,59:54
281,2016-12-27,BOS,CBJ,@,Tuukka Rask,L,22,18,58:10
282,2017-01-03,CBJ,EDM,h,Sergei Bobrovsky,W,22,21,60:00
283,2017-01-03,EDM,CBJ,@,Cam Talbot,L,35,32,58:09
284,2017-01-07,CBJ,NYR,h,Curtis McElhinney,L,34,29,59:37
285,2017-01-07,NYR,CBJ,@,Henrik Lundqvist,W,37,33,60:00
286,2017-01-08,CBJ,PHI,h,Sergei Bobrovsky,W,26,25,62:33
287,2017-01-08,PHI,CBJ,@,Steve Mason,O,25,23,61:53
288,2017-01-17,CBJ,CAR,h,Sergei Bobrovsky,W,25,24,59:47
289,2017-01-17,CAR,CBJ,@,Alex Nedeljkovic,,17,17,29:57
290,2017-01-19,CBJ,OTT,h,Sergei Bobrovsky,L,28,26,57:11
291,2017-01-19,OTT,CBJ,@,Mike Condon,W,42,42,60:00
292,2017-01-21,CBJ,CAR,h,Sergei Bobrovsky,W,37,35,60:00
293,2017-01-21,CAR,CBJ,@,Michael Leighton,L,20,17,57:18
294,2017-02-04,CBJ,NJD,h,Sergei Bobrovsky,L,29,25,59:52
295,2017-02-04,NJD,CBJ,@,Cory Schneider,W,32,31,60:00
296,2017-02-09,CBJ,VAN,h,Sergei Bobrovsky,L,24,21,60:00
297,2017-02-09,VAN,CBJ,@,Ryan Miller,W,33,33,60:00
298,2017-02-11,CBJ,DET,h,Sergei Bobrovsky,W,36,35,60:00
299,2017-02-11,DET,CBJ,@,Petr Mrazek,L,39,37,57:55
300,2017-02-13,CBJ,NYR,h,Sergei Bobrovsky,L,23,20,57:57
301,2017-02-13,NYR,CBJ,@,Antti Raanta,W,32,30,59:06
302,2017-02-15,CBJ,TOR,h,Joonas Korpisalo,W,33,31,60:00
303,2017-02-15,TOR,CBJ,@,Curtis McElhinney,L,34,30,59:16
304,2017-02-17,CBJ,PIT,h,Sergei Bobrovsky,W,39,38,61:04
305,2017-02-17,PIT,CBJ,@,Matt Murray,O,39,37,61:04
306,2017-02-19,CBJ,NSH,h,Sergei Bobrovsky,L,32,28,58:39
307,2017-02-19,NSH,CBJ,@,Juuse Saros,W,38,35,60:00
308,2017-02-25,CBJ,NYI,h,Joonas Korpisalo,W,24,24,60:00
309,2017-02-25,NYI,CBJ,@,Jean-Francois Berube,,28,24,40:00
310,2017-03-02,CBJ,MIN,h,Sergei Bobrovsky,W,38,38,59:55
311,2017-03-02,MIN,CBJ,@,Devan Dubnyk,L,40,39,58:50
312,2017-03-07,CBJ,NJD,h,Sergei Bobrovsky,W,33,33,59:34
313,2017-03-07,NJD,CBJ,@,Keith Kinkaid,L,24,23,59:51
314,2017-03-10,CBJ,BUF,h,Sergei Bobrovsky,W,32,29,60:00
315,2017-03-10,BUF,CBJ,@,Robin Lehner,L,39,35,58:25
316,2017-03-16,CBJ,FLA,h,Sergei Bobrovsky,W,34,33,59:59
317,2017-03-16,FLA,CBJ,@,James Reimer,L,34,32,58:43
318,2017-03-22,CBJ,TOR,h,Joonas Korpisalo,L,31,27,59:35
319,2017-03-22,TOR,CBJ,@,Frederik Andersen,W,34,32,60:00
320,2017-03-25,CBJ,PHI,h,Sergei Bobrovsky,W,36,36,60:00
321,2017-03-25,PHI,CBJ,@,Michal Neuvirth,L,21,20,58:53
322,2017-03-28,CBJ,BUF,h,Sergei Bobrovsky,W,42,41,60:00
323,2017-03-28,BUF,CBJ,@,Anders Nilsson,L,28,26,58:06
324,2017-04-02,CBJ,WSH,h,Sergei Bobrovsky,L,30,27,58:45
325,2017-04-02,WSH,CBJ,@,Braden Holtby,W,37,35,60:00
326,2017-04-06,CBJ,WPG,h,Joonas Korpisalo,L,32,27,57:58
327,2017-04-06,WPG,CBJ,@,Eric Comrie,W,39,35,59:18
328,2016-10-20,BOS,NJD,h,Tuukka Rask,W,29,28,60:00
329,2016-10-20,NJD,BOS,@,Cory Schneider,L,36,34,58:53
