,date,team,against,home,goalie,dec,SA,SV,TOI,,,,
1187,1/4/18,BUF,MIN,@,Robin Lehner,L,17,11,40:00:00,,,,
2415,1/5/18,BUF,WPG,@,Chad Johnson,L,29,25,57:56:00,,,,
1767,1/7/18,BUF,PHI,@,Robin Lehner,L,27,25,58:40:00,,,,
446,1/9/18,BUF,WPG,h,Chad Johnson,L,19,16,37:22:00,,,,
448,1/11/18,BUF,CBJ,h,Linus Ullmark,W,45,44,60:00:00,,,,
1613,1/18/18,BUF,NYR,@,Robin Lehner,L,34,30,58:03:00,,,,
450,1/20/18,BUF,DAL,h,Chad Johnson,,13,10,30:28:00,,,,
541,1/22/18,BUF,CGY,@,Chad Johnson,W,33,32,61:30:00,,,,
949,1/23/18,BUF,EDM,@,Robin Lehner,W,33,33,60:00:00,,,,
2179,1/25/18,BUF,VAN,@,Robin Lehner,W,30,30,59:26:00,,,,
452,1/30/18,BUF,NJD,h,Robin Lehner,L,27,25,58:29:00,,,,
454,2/1/18,BUF,FLA,h,Chad Johnson,L,32,28,59:40:00,,,,
456,2/3/18,BUF,STL,h,Robin Lehner,L,33,32,58:06:00,,,,
458,2/6/18,BUF,ANA,h,Robin Lehner,O,33,29,58:59:00,,,,
460,2/8/18,BUF,NYI,h,Robin Lehner,W,29,26,60:00:00,,,,
385,2/10/18,BUF,BOS,@,Chad Johnson,W,27,25,60:00:00,,,,
462,2/11/18,BUF,COL,h,Robin Lehner,L,27,22,56:29:00,,,,
464,2/13/18,BUF,TBL,h,Chad Johnson,W,29,26,60:00:00,,,,
1697,2/15/18,BUF,OTT,@,Robin Lehner,O,36,33,61:13:00,,,,
466,2/17/18,BUF,LAK,h,Robin Lehner,L,30,26,39:44:00,,,,
468,2/19/18,BUF,WSH,h,Chad Johnson,L,29,27,58:11:00,,,,
885,2/22/18,BUF,DET,@,Robin Lehner,W,37,35,64:34:00,,,,
2359,2/24/18,BUF,WSH,@,Robin Lehner,L,35,31,59:52:00,,,,
470,2/25/18,BUF,BOS,h,Chad Johnson,W,35,34,60:00:00,,,,
2107,2/28/18,BUF,TBL,@,Chad Johnson,W,22,21,61:23:00,,,,
1043,3/2/18,BUF,FLA,@,Robin Lehner,L,30,26,59:55:00,,,,
472,3/5/18,BUF,TOR,h,Chad Johnson,W,41,38,60:00:00,,,,
474,3/7/18,BUF,CGY,h,Robin Lehner,,19,18,33:59:00,,,,
1705,3/8/18,BUF,OTT,@,Robin Lehner,W,40,37,64:28:00,,,,
476,3/10/18,BUF,VEG,h,Robin Lehner,O,34,33,65:00:00,,,,
478,3/15/18,BUF,TOR,h,Robin Lehner,L,38,34,57:15:00,,,,
480,3/17/18,BUF,CHI,h,Chad Johnson,W,37,34,59:50:00,,,,
482,3/19/18,BUF,NSH,h,Linus Ullmark,L,32,28,59:36:00,,,,
484,3/21/18,BUF,ARI,h,Linus Ullmark,,13,12,30:38:00,,,,
486,3/23/18,BUF,MTL,h,Linus Ullmark,L,22,21,58:49:00,,,,
1635,3/24/18,BUF,NYR,@,Linus Ullmark,,11,10,31:15:00,,,,
488,3/29/18,BUF,DET,h,Robin Lehner,,20,17,40:00:00,,,,
1391,3/31/18,BUF,NSH,@,Chad Johnson,W,36,32,60:00:00,,,,
490,4/4/18,BUF,OTT,h,Chad Johnson,L,31,28,58:34:00,,,,
2131,4/6/18,BUF,TBL,@,Chad Johnson,L,33,27,57:54:00,,,,
1065,4/7/18,BUF,FLA,@,Adam Wilcox,L,14,14,38:39:00,,,,
574,10/7/17,CAR,MIN,h,Scott Darling,W,27,23,65:00:00,,,,
576,10/10/17,CAR,CBJ,h,Scott Darling,O,27,25,63:35:00,,,,
2381,10/14/17,CAR,WPG,@,Scott Darling,L,21,19,57:19:00,,,,
909,10/17/17,CAR,EDM,@,Cam Ward,W,51,48,59:46:00,,,,
